Warrdead {'ratio': 6.93, 'most_spent': 67000.0, 'biggest_cut': 6449.0, 'avg_deduct': 'TBA'}
Georgepig {'ratio': 4.98, 'most_spent': 41000.0, 'biggest_cut': 4513.0, 'avg_deduct': 'TBA'}
Lilwarley {'ratio': 2.87, 'most_spent': 18000.0, 'biggest_cut': 4295.0, 'avg_deduct': 'TBA'}
Giken {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4231.0, 'avg_deduct': 'TBA'}
Idsapthatt {'ratio': 2.24, 'most_spent': 18000.0, 'biggest_cut': 3921.0, 'avg_deduct': 'TBA'}
Jezuz {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3874.0, 'avg_deduct': 'TBA'}
Mechalina {'ratio': 0.06, 'most_spent': 1500.0, 'biggest_cut': 5406.0, 'avg_deduct': 'TBA'}
Spor {'ratio': 0.11, 'most_spent': 1234.0, 'biggest_cut': 4241.0, 'avg_deduct': 'TBA'}
Ktlx {'ratio': 1.32, 'most_spent': 26000.0, 'biggest_cut': 6951.0, 'avg_deduct': 'TBA'}
Bijboaca {'ratio': 2.97, 'most_spent': 16700.0, 'biggest_cut': 5678.0, 'avg_deduct': 'TBA'}
Quipp {'ratio': 1.12, 'most_spent': 8000.0, 'biggest_cut': 4156.0, 'avg_deduct': 'TBA'}
Saí {'ratio': 2.27, 'most_spent': 10500.0, 'biggest_cut': 2991.0, 'avg_deduct': 'TBA'}
Namez {'ratio': 2.45, 'most_spent': 14000.0, 'biggest_cut': 3039.0, 'avg_deduct': 'TBA'}
Whoopzz {'ratio': 4.2, 'most_spent': 18500.0, 'biggest_cut': 4983.0, 'avg_deduct': 'TBA'}
Salia {'ratio': 0.66, 'most_spent': 7000.0, 'biggest_cut': 3857.0, 'avg_deduct': 'TBA'}
Pendlicious {'ratio': 6.87, 'most_spent': 31000.0, 'biggest_cut': 3515.0, 'avg_deduct': 'TBA'}
Ababolatodav {'ratio': 2.12, 'most_spent': 3500.0, 'biggest_cut': 1653.0, 'avg_deduct': 'TBA'}
Krobianqt {'ratio': 6.65, 'most_spent': 113000.0, 'biggest_cut': 8100.0, 'avg_deduct': 'TBA'}
Zelor {'ratio': 0.55, 'most_spent': 7500.0, 'biggest_cut': 5721.0, 'avg_deduct': 'TBA'}
Skysong {'ratio': 0.03, 'most_spent': 500.0, 'biggest_cut': 7389.0, 'avg_deduct': 'TBA'}
Climaxz {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5784.0, 'avg_deduct': 'TBA'}
Alpha {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4225.0, 'avg_deduct': 'TBA'}
Nickxioo {'ratio': 1.33, 'most_spent': 8900.0, 'biggest_cut': 4151.0, 'avg_deduct': 'TBA'}
Stress {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3909.0, 'avg_deduct': 'TBA'}
Pillaadin {'ratio': 0.22, 'most_spent': 2000.0, 'biggest_cut': 4699.0, 'avg_deduct': 'TBA'}
Ikeaa {'ratio': 2.71, 'most_spent': 28900.0, 'biggest_cut': 4233.0, 'avg_deduct': 'TBA'}
Pantherion {'ratio': 1.5, 'most_spent': 11000.0, 'biggest_cut': 4123.0, 'avg_deduct': 'TBA'}
Bepantena {'ratio': 0.34, 'most_spent': 1000.0, 'biggest_cut': 2923.0, 'avg_deduct': 'TBA'}
Eggnocx {'ratio': 1.98, 'most_spent': 27000.0, 'biggest_cut': 7035.0, 'avg_deduct': 'TBA'}
